Choix du Produit,BQ PROT VANILLE
Angle de vue (Face,Face
Ambiance,Énergie & Sport
Format (Ratio),Post Instagram
Style Photo,Lumière d'Or (Golden Hour)
Scénario,Randonnée Sommet
Personnages,L'Athlète Pro
Éclairage,Golden Hour
,
📸 APERÇU IMAGE,
,
🚀 PROMPT FINAL À COPIER,
"Utilise l'image fournie en pièce jointe comme base visuelle absolue. Tu es un photographe publicitaire professionnel. Contrainte stricte : Ne modifie en aucun cas le design, la forme ou les couleurs du produit sur l'image. Description technique : . . Ambiance : sur un sol de salle de sport sombre ou une surface métallique. Scénario : . Personnage : . Lumière : . Style visuel : Warm sunset lighting, long soft shadows, orange and golden hues, dreamy and natural atmosphere.. Rendu : Photorealistic, 8k, highly detailed, sharp focus, professional post-processing. Format : ",
